,0,1,2,3,4,5,6
"[0, 0, 0, 0, 0]",0.002565752549562768,0.009685642212505993,0.0006901040515549571,0.00027211459636322205,0.000819699372368254,0.0014906227527498761,0.0007120153240390364
"[0, 0, 0, 1, 0]",0.00042285058382379514,0.000424469492708159,0.000555561200748249,0.00044196861743718395,0.0004479544142452651,0.00041934514466118104,0.00039232334586421957
"[0, 1, 0, 1, 0]",0.0003991928085263442,0.0032979958860838376,0.014526084318007632,0.0004087702141758262,0.0004169493164040104,0.00040989645159924035,0.0003911882449169798
"[0, 1, 0, 0, 1]",0.0017691377508291008,0.0016316585768816189,0.0017089151386236782,0.0016854589255645383,0.0016788840577718702,0.05343985150252745,0.0016991782137708552
"[0, 2, 0, 1, 0]",0.020309678377130626,1.4557639654691297,0.020579573029059536,0.019789242946188765,0.01925501015172509,0.02009529411874023,0.019867293558871235
"[0, 2, 0, 0, 1]",0.021929824342801305,0.02004299244111646,0.02132466485324938,0.02091992224794963,0.021831942802658696,0.02164171231242521,0.02194153833243621
"[0, 3, 0, 0, 1]",0.0011433029119102842,0.0811408831205371,0.0011456826164698978,0.08641232175105543,0.027385760599806436,0.001097231395226324,0.016699517378295933
"[0, 3, 0, 1, 0]",0.07177787147522695,1.7525520074622356,0.0698017248074962,0.07154821167318616,0.06939298812945693,0.07259203464367792,0.06995879771018043
"[0, 3, 1, 1, 0]",0.2988026284794754,1.9139339344360595,0.3447645601863347,0.2247890052775614,0.3562348500680855,0.3532840284455666,0.3149003554948864
"[1, 3, 0, 1, 0]",0.41805068725513106,0.42506008124725325,0.3878133353392323,0.20425496214876934,0.4096984383855472,0.3094753190741876,2.7771847397334692
"[1, 3, 0, 0, 1]",0.1678796282915348,0.6058944340334071,0.06907614995000744,0.21774600798137872,0.1914943715863268,0.10081750781665574,0.22279239580573099
"[2, 3, 0, 1, 0]",0.3500914146075975,0.21033463178060222,0.1690616298093165,0.10893200793747967,0.10999508083935272,0.35215196234476487,9.398623885865627
"[2, 3, 0, 0, 1]",0.3054326308667787,0.37500508355468587,0.12435452402224773,0.12766075067968968,0.12829326404205763,0.19049814954923777,0.24769950422241566
"[2, 3, 1, 0, 1]",0.1631704317632501,0.7133584146198682,0.529847613302967,0.17134364886934667,0.7408703367963755,0.17916776128924694,0.1591010001741636
"[2, 3, 1, 1, 0]",0.3669143081099677,0.12701433022063535,0.24585434649932775,0.5120220721465661,0.3282924296329641,10.146444653564483,0.07591626161016085
"[3, 3, 1, 1, 0]",0.23510255950503292,2.3485986433363264,0.5096068135310381,0.8768296802047599,0.20421789998297057,1.4501965997173285,0.21966442754334245
"[3, 3, 1, 0, 1]",1.0386648398286566,1.2034572901558749,0.3569462871378954,0.18505470205988458,0.34210214727996774,0.18289789853798707,0.18663999933145245
"[3, 3, 2, 1, 0]",0.025627461649590608,0.026730460428327277,0.026428512479682673,0.025289491419183588,0.02540036652950342,0.812601490627865,0.02627126832514935
"[3, 3, 2, 0, 1]",0.03410138943091663,0.032128373511086834,0.03348754379668936,0.03464463532578156,0.034968972751338936,0.03429609469590384,0.03179573222832159
"[4, 3, 2, 0, 1]",0.06921247934552305,0.4377267463463329,0.06938154579138496,0.0705898122128732,0.06942220310199868,0.07053083382753686,0.07105381504916235
"[4, 3, 2, 1, 0]",0.06500080797798263,0.20043223488109552,0.06568076026160832,0.06489094957996303,0.06632503188317426,0.06577753079418808,2.5465043526514357
