seconds,prediction
0,0.4666666666666667
20,0.6666666666666666
37,0.6
54,0.4666666666666667
63,0.4
80,0.3333333333333333
97,0.3333333333333333
105,0.6
114,0.6
129,0.3333333333333333
131,0.5333333333333333
144,0.4
148,0.5333333333333333
158,0.4
172,0.5333333333333333
175,0.4
202,0.5333333333333333
211,0.26666666666666666
224,0.6
236,0.6
246,0.4666666666666667
261,0.8
263,0.3333333333333333
265,0.5333333333333333
274,0.4
280,0.4666666666666667
282,0.4666666666666667
288,0.4666666666666667
294,0.4666666666666667
297,0.4666666666666667
298,0.3333333333333333
299,0.26666666666666666
305,0.4
309,0.3333333333333333
314,0.4666666666666667
314,0.3333333333333333
331,0.4666666666666667
333,0.6
340,0.6666666666666666
344,0.4666666666666667
344,0.4
345,0.26666666666666666
345,0.3333333333333333
349,0.5333333333333333
354,0.26666666666666666
356,0.4
361,0.26666666666666666
363,0.3333333333333333
373,0.06666666666666667
386,0.4
387,0.5333333333333333
394,0.7333333333333333
398,0.26666666666666666
409,0.7333333333333333
418,0.26666666666666666
419,0.2
422,0.4666666666666667
423,0.4
431,0.4
438,0.2
438,0.26666666666666666
440,0.06666666666666667
441,0.06666666666666667
445,0.0
455,0.0
469,0.06666666666666667
480,0.0
525,0.2
535,0.06666666666666667
537,0.06666666666666667
543,0.2
550,0.4
552,0.3333333333333333
552,0.3333333333333333
565,0.4666666666666667
566,0.4666666666666667
566,0.4
568,0.6666666666666666
569,0.6
597,0.4
607,0.2
636,0.4
638,0.4
