,0,1,2,3,4,5,6
"[0, 0, 0, 0, 0]",0.0,58741.17138406029,12396.788989056691,0.0,0.0,101961.21847545638,0.0
"[0, 0, 0, 1, 0]",61012.42466795756,64251.046990271745,62216.67211797909,64813.70733856384,60167.31252624392,63643.44887352923,58795.78880548567
"[0, 1, 0, 1, 0]",52268.22441524249,52951.31176394125,52351.36223542384,53864.58270634358,59940.518589805666,52356.90120701915,50641.838088287266
"[0, 2, 0, 1, 0]",43354.64100563818,47077.777258505615,53684.04050544195,41314.401519856096,60199.63937774014,54164.73484311794,54231.93450884443
"[0, 3, 0, 1, 0]",74177.2183054503,56987.6229189131,67166.79164341076,68029.97907625936,68866.93364586245,65285.59457342122,63506.99507606527
"[0, 2, 0, 0, 1]",57466.730114881495,60329.731229013545,59782.418655405854,18646.72191699258,12792.27093855526,57709.01930596603,57991.39744301142
"[0, 3, 0, 0, 1]",70411.67437054809,65492.08874261308,62769.32698552874,19564.661474476085,0.0,65945.29712705611,75456.42697443585
"[0, 4, 0, 0, 1]",118810.02515317836,121764.43844627979,115579.70610187852,0.0,0.0,115535.4828557779,0.0
"[0, 4, 0, 1, 0]",58577.021352053416,102095.77975991182,72356.44083671064,77828.50410451376,133248.72268860435,104568.89008656127,71182.88423021299
"[0, 4, 1, 1, 0]",26808.67785510169,19389.140950647918,19936.805325059056,20656.336909991664,15265.257687288644,21861.41755193455,18615.638912815502
"[0, 4, 1, 0, 1]",20029.631762288096,25652.829325712206,19089.52116204339,19477.737729827328,14958.461206734462,19863.861408212353,18470.690916258613
"[0, 4, 1, 0, 0]",1149.1447513840174,20664.672589935577,0.0,0.0,0.0,18967.432294779035,0.0
"[0, 5, 1, 0, 1]",17986.607693392023,24178.07783990907,17600.47790429881,19266.20795737406,19727.675143354896,16759.646783883778,18829.602473329443
"[0, 5, 1, 1, 0]",18360.366253587465,18518.241758822474,18565.678649328143,11148.173117842653,7830.410723147592,20648.12831572991,23418.993896645316
"[1, 4, 0, 0, 1]",16996.70823272945,15300.109061747522,16517.708204173345,2219.3706587917404,0.0,16516.463552519337,9372.547187390735
"[1, 4, 0, 1, 0]",15625.693139776035,16046.335778359513,15987.762951286672,16464.516433773893,15743.154867873338,15196.336517548176,15722.958304670965
"[1, 4, 0, 0, 0]",0.0,16733.974796638977,0.0,0.0,0.0,-8098.895920143663,0.0
