winner,seconds,minerals_current,vespene_current,minerals_collection_rate,vespene_collection_rate,workers_active_count,minerals_used_in_progress_army,minerals_used_in_progress_economy,minerals_used_in_progress_technology,vespene_used_in_progress_army,vespene_used_in_progress_economy,vespene_used_in_progress_technology,minerals_used_current_army,minerals_used_current_economy,minerals_used_current_technology,vespene_used_current_army,vespene_used_current_economy,vespene_used_current_technology,minerals_lost_army,minerals_lost_economy,minerals_lost_technology,vespene_lost_army,vespene_lost_economy,vespene_lost_technology,minerals_killed_army,minerals_killed_economy,minerals_killed_technology,vespene_killed_army,vespene_killed_economy,vespene_killed_technology,food_used,food_made,minerals_used_active_forces,vespene_used_active_forces,ff_minerals_lost_army,ff_minerals_lost_economy,ff_minerals_lost_technology,ff_vespene_lost_army,ff_vespene_lost_economy,ff_vespene_lost_technology
1,160,125,74,727,201,20,50,150,150,50,0,0,0,1750,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90112,126976,0,0,0,0,0,0,0,0
0,160,205,54,839,156,19,50,550,0,50,0,0,0,1525,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81920,94208,0,0,0,0,0,0,0,0
1,170,50,60,671,291,21,50,100,150,50,0,0,50,1800,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94208,126976,50,50,0,0,0,0,0,0
0,170,145,74,839,156,19,50,400,150,50,0,0,0,1675,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81920,94208,0,0,0,0,0,0,0,0
1,180,30,50,671,335,21,100,150,0,100,0,0,50,1900,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,159744,50,50,0,0,0,0,0,0
0,180,140,94,811,156,19,0,400,150,0,0,0,50,1675,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81920,94208,50,50,0,0,0,0,0,0
1,190,60,90,671,335,22,100,150,0,100,0,0,50,1950,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106496,159744,50,50,0,0,0,0,0,0
0,190,130,64,783,179,19,0,550,200,0,0,50,50,1675,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86016,94208,50,50,0,0,0,0,0,0
1,200,65,26,811,313,22,100,150,0,100,0,0,50,1950,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106496,159744,50,50,0,0,0,0,0,0
0,200,195,84,895,179,19,0,550,200,0,0,50,50,1675,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86016,94208,50,50,0,0,0,0,0,0
1,210,20,66,895,313,23,100,0,150,100,0,0,50,2100,300,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106496,192512,50,50,0,0,0,0,0,0
0,210,305,100,1063,156,20,0,550,200,0,0,50,50,1725,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90112,94208,50,50,0,0,0,0,0,0
1,220,110,106,867,335,23,100,0,150,100,0,0,100,2100,300,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110592,192512,100,100,0,0,0,0,0,0
0,220,410,120,951,156,21,0,400,200,0,0,50,50,1875,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90112,126976,50,50,0,0,0,0,0,0
1,230,130,46,923,335,23,100,0,150,100,0,0,150,2100,300,150,0,0,0,0,0,0,0,0,0,50,0,0,0,0,114688,192512,150,150,0,0,0,0,0,0
0,230,535,140,1007,156,20,0,400,200,0,0,50,50,1825,150,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,86016,126976,50,50,0,0,0,0,0,0
1,240,230,82,867,335,23,100,0,150,100,0,0,150,2100,300,150,0,0,0,0,0,0,0,0,0,150,0,0,0,0,114688,192512,150,150,0,0,0,0,0,0
0,240,545,144,951,67,18,100,400,150,0,0,0,50,1725,200,50,0,50,0,150,0,0,0,0,0,0,0,0,0,0,86016,126976,50,50,0,0,0,0,0,0
1,250,340,122,951,335,23,100,0,150,100,0,0,150,2100,300,150,0,0,0,0,0,0,0,0,0,150,0,0,0,0,114688,192512,150,150,0,0,0,0,0,0
0,250,685,152,1007,67,18,100,0,150,0,0,0,50,2125,200,50,0,50,0,150,0,0,0,0,0,0,0,0,0,0,86016,188416,50,50,0,0,0,0,0,0
1,260,440,158,867,313,23,100,0,150,100,0,0,200,2100,300,200,0,0,0,0,0,0,0,0,0,150,0,0,0,0,118784,192512,200,200,0,0,0,0,0,0
0,260,820,160,1035,67,18,100,0,150,0,0,0,50,2125,200,50,0,50,0,150,0,0,0,0,0,0,0,0,0,0,86016,188416,50,50,0,0,0,0,0,0
1,270,510,148,923,313,23,100,0,150,100,0,0,200,2100,300,200,0,0,50,0,0,50,0,0,0,200,0,0,0,0,118784,192512,200,200,0,0,0,0,0,0
0,270,905,160,755,22,17,0,0,150,0,0,0,150,2075,200,50,0,50,0,200,0,0,0,0,50,0,0,50,0,0,81920,188416,150,50,0,0,0,0,0,0
1,280,410,138,923,313,23,100,0,0,100,0,0,200,2100,450,200,0,0,50,0,0,50,0,0,0,300,0,0,0,0,118784,192512,200,200,0,0,0,0,0,0
0,280,910,160,755,0,15,100,0,150,0,0,0,150,1975,200,50,0,50,0,300,0,0,0,0,50,0,0,50,0,0,81920,188416,150,50,0,0,0,0,0,0
1,290,205,78,839,335,23,150,100,150,150,0,0,200,2100,450,200,0,0,50,0,0,50,0,0,0,300,0,0,0,0,122880,192512,200,200,0,0,0,0,0,0
0,290,1015,160,839,0,15,100,0,150,0,0,0,150,1975,200,50,0,50,0,300,0,0,0,0,50,0,0,50,0,0,81920,188416,150,50,0,0,0,0,0,0
1,300,170,118,755,335,23,150,200,275,150,0,0,200,2100,450,200,0,0,50,0,0,50,0,0,0,300,0,0,0,0,122880,192512,200,200,0,0,0,0,0,0
0,300,1115,160,755,0,15,0,0,0,0,0,0,250,1975,350,50,0,50,0,300,0,0,0,0,50,0,0,50,0,0,81920,188416,250,50,0,0,0,0,0,0
1,310,150,54,699,335,23,150,200,275,150,0,0,200,2100,450,200,0,0,100,0,0,100,0,0,50,300,0,50,0,0,122880,192512,200,200,0,0,0,0,0,0
0,310,1050,135,811,0,15,100,0,50,0,0,25,200,1975,350,0,0,50,50,300,0,50,0,0,100,0,0,100,0,0,86016,188416,200,0,0,0,0,0,0,0
1,320,245,94,755,335,23,150,100,275,150,0,0,250,2200,450,250,0,0,100,0,0,100,0,0,50,350,0,50,0,0,126976,225280,250,250,0,0,0,0,0,0
0,320,940,35,755,0,14,100,50,200,0,0,125,200,1925,350,0,0,50,50,350,0,50,0,0,100,0,0,100,0,0,86016,188416,200,0,0,0,0,0,0,0
1,330,340,130,783,313,23,150,0,275,150,0,0,250,2300,450,250,0,0,100,0,0,100,0,0,100,350,0,50,0,0,126976,258048,250,250,0,0,0,0,0,0
0,330,1025,35,727,0,14,100,50,200,0,0,125,150,1925,350,0,0,50,100,350,0,50,0,0,100,0,0,100,0,0,81920,188416,150,0,0,0,0,0,0,0
1,340,430,170,783,313,23,150,0,150,150,0,0,250,2300,575,250,0,0,150,0,0,150,0,0,100,600,0,50,0,0,126976,258048,250,250,0,0,0,0,0,0
0,340,1085,35,587,0,10,0,0,150,0,0,100,250,1725,400,0,0,75,100,600,0,50,0,0,150,0,0,150,0,0,61440,188416,250,0,0,0,0,0,0,0
1,350,380,60,783,335,23,150,0,0,150,0,0,150,2300,725,150,0,0,300,0,0,300,0,0,100,600,0,50,0,0,118784,258048,150,150,0,0,0,0,0,0
0,350,1050,35,587,0,10,0,100,150,0,0,100,250,1725,400,0,0,75,100,600,0,50,0,0,300,0,0,300,0,0,69632,188416,250,0,0,0,0,0,0,0
1,360,435,50,895,335,23,200,0,0,200,0,0,200,2300,725,200,0,0,300,0,0,300,0,0,100,600,0,50,0,0,126976,258048,200,200,0,0,0,0,0,0
0,360,1015,35,559,0,10,0,100,150,0,0,100,250,1725,400,0,0,75,100,600,0,50,0,0,300,0,0,300,0,0,69632,188416,250,0,0,0,0,0,0,0
1,370,145,86,867,313,23,200,0,0,200,0,0,200,2300,725,200,0,0,300,0,0,300,0,0,100,600,0,50,0,0,126976,258048,200,200,0,0,0,0,0,0
0,370,925,35,531,0,12,150,100,150,0,0,100,250,1825,400,0,0,75,100,600,0,50,0,0,300,0,0,300,0,0,90112,188416,250,0,0,0,0,0,0,0
1,380,245,126,867,335,23,200,400,0,200,0,0,250,2300,725,250,0,0,300,0,0,300,0,0,150,600,0,50,0,0,131072,258048,250,250,0,0,0,0,0,0
0,380,975,35,531,0,12,150,100,150,0,0,100,200,1825,400,0,0,75,150,600,0,50,0,0,300,0,0,300,0,0,86016,188416,200,0,0,0,0,0,0,0
1,390,355,162,895,313,23,200,400,0,200,0,0,150,2300,725,150,0,0,400,0,0,400,0,0,300,600,0,50,0,0,122880,258048,150,150,0,0,0,0,0,0
0,390,975,35,699,0,14,50,100,150,0,0,100,150,1925,400,0,0,75,300,600,0,50,0,0,400,0,0,400,0,0,81920,188416,150,0,0,0,0,0,0,0
